date,Unnamed: 0,n_sick,calls,n_duty,n_sby,sby_need,dafted,weekday,calendarweek,month,quarter,season,schulferien,Sick-ratio,Residuals_calls,Residuals_Sick-ratio,Ausreißer_Sick-ratio,Ausreißer_Calls
2016-04-23,22,62,5166,1700,90,5166,5166,Saturday,16,April,2,Frühling,False,0.0364705882352941,-665.5647821001807,,False,False
2016-04-24,23,71,4884,1700,90,4884,4884,Sunday,16,April,2,Frühling,False,0.0417647058823529,-715.26329217906,,False,False
2016-04-25,24,72,5880,1700,90,5880,5880,Monday,17,April,2,Frühling,False,0.0423529411764705,-533.9890889769042,,False,False
2016-04-26,25,65,6576,1700,90,6576,6576,Tuesday,17,April,2,Frühling,False,0.038235294117647,-87.97166737411652,,False,False
2016-04-27,26,62,7620,1700,90,7620,7620,Wednesday,17,April,2,Frühling,False,0.0364705882352941,1017.5283326258832,,False,False
2016-04-28,27,66,6870,1700,90,6870,6870,Thursday,17,April,2,Frühling,False,0.0388235294117647,-103.06051754833328,,False,False
2016-04-29,28,64,7554,1700,90,7554,7554,Friday,17,April,2,Frühling,False,0.0376470588235294,412.892444124141,,False,False
2016-04-30,29,65,5424,1700,90,5424,5424,Saturday,17,April,2,Frühling,False,0.038235294117647,-1701.8504963858954,,False,False
2016-05-01,30,54,8400,1700,90,8400,8400,Sunday,17,May,2,Frühling,False,0.0317647058823529,1596.450993535227,,False,False
2016-05-02,31,63,7782,1700,90,7782,7782,Monday,18,May,2,Frühling,False,0.0370588235294117,-142.2748032626189,,False,False
2016-05-03,32,61,7716,1700,90,7716,7716,Tuesday,18,May,2,Frühling,False,0.0358823529411764,-173.68595308840275,,False,False
2016-05-04,33,58,8340,1700,90,8340,8340,Wednesday,18,May,2,Frühling,False,0.0341176470588235,56.67118976874099,,False,False
2016-05-05,34,57,8064,1700,90,8064,8064,Thursday,18,May,2,Frühling,False,0.0335294117647058,183.2251967373814,,False,False
2016-05-06,35,59,7404,1700,90,7404,7404,Friday,18,May,2,Frühling,False,0.0347058823529411,-373.9646987330012,,False,False
2016-05-07,36,57,8868,1700,90,8868,8868,Saturday,18,May,2,Frühling,False,0.0335294117647058,1373.578075042676,,False,False
2016-05-08,37,61,6504,1700,90,6504,6504,Sunday,18,May,2,Frühling,False,0.0358823529411764,-446.97757789334446,,False,False
2016-05-09,38,65,7788,1700,90,7788,7788,Monday,19,May,2,Frühling,False,0.038235294117647,-23.131946119761096,,False,False
2016-05-10,39,68,6978,1700,90,6978,6978,Tuesday,19,May,2,Frühling,False,0.04,-957.9716673741166,,False,False
2016-05-11,40,61,7512,1700,90,7512,7512,Wednesday,19,May,2,Frühling,False,0.0358823529411764,-221.0430959455444,,False,False
2016-05-12,41,55,7434,1700,90,7434,7434,Thursday,19,May,2,Frühling,False,0.0323529411764705,-334.489088976903,,False,False
2016-05-13,42,56,8370,1700,90,8370,8370,Friday,19,May,2,Frühling,False,0.0329411764705882,525.1781584098557,,False,False
2016-05-14,43,50,8136,1700,90,8136,8136,Saturday,19,May,2,Frühling,False,0.0294117647058823,244.720932185534,,False,False
2016-05-15,44,57,7674,1700,90,7674,7674,Sunday,19,May,2,Frühling,False,0.0335294117647058,111.87956496379866,,False,False
2016-05-16,45,52,9048,1700,90,9048,9048,Monday,20,May,2,Frühling,False,0.0305882352941176,404.5823395945233,,False,False
2016-05-17,46,53,8550,1700,90,8550,8550,Tuesday,20,May,2,Frühling,False,0.0311764705882352,288.3140469115981,,False,False
2016-05-18,47,52,8184,1700,90,8184,8184,Wednesday,20,May,2,Frühling,False,0.0305882352941176,-14.471667374115896,,False,False
2016-05-19,48,51,8352,1700,90,8352,8352,Thursday,20,May,2,Frühling,False,0.03,450.65376816595295,,False,False
2016-05-20,49,57,5790,1700,90,5790,5790,Friday,20,May,2,Frühling,False,0.0335294117647058,-1832.821841590144,,False,False
2016-05-21,50,56,8382,1700,90,8382,8382,Saturday,20,May,2,Frühling,False,0.0329411764705882,1257.0066464712477,,False,False
2016-05-22,51,58,6516,1700,90,6516,6516,Sunday,20,May,2,Frühling,False,0.0341176470588235,-185.5490064647729,,False,False
2016-05-23,52,57,7824,1700,90,7824,7824,Monday,21,May,2,Frühling,False,0.0335294117647058,204.8680538802389,,False,False
2016-05-24,53,55,6312,1700,90,6312,6312,Tuesday,21,May,2,Frühling,False,0.0323529411764705,-1335.9716673741166,,False,False
2016-05-25,54,49,8196,1700,90,8196,8196,Wednesday,21,May,2,Frühling,False,0.0288235294117647,961.814046911598,,False,False
2016-05-26,55,46,8124,1700,90,8124,8124,Thursday,21,May,2,Frühling,False,0.0270588235294117,954.653768165954,,False,False
2016-05-27,56,50,6084,1700,90,6084,6084,Friday,21,May,2,Frühling,False,0.0294117647058823,-1102.5361273044296,,False,False
2016-05-28,57,50,6174,1700,90,6174,6174,Saturday,21,May,2,Frühling,False,0.0294117647058823,-1076.1362106716092,,False,False
2016-05-29,58,52,6984,1700,90,6984,6984,Sunday,21,May,2,Frühling,False,0.0305882352941176,236.1652792495124,,False,False
2016-05-30,59,59,8670,1700,90,8670,8670,Monday,22,May,2,Frühling,False,0.0347058823529411,947.1537681659536,,False,False
2016-05-31,60,59,8004,1700,90,8004,8004,Tuesday,22,May,2,Frühling,False,0.0347058823529411,-111.1145245169734,,False,False
2016-06-01,61,64,7656,1700,90,7656,7656,Wednesday,22,June,2,Sommer,False,0.0376470588235294,-825.3288102312599,,False,False
2016-06-02,62,63,8298,1700,90,8298,8298,Thursday,22,June,2,Sommer,False,0.0370588235294117,-270.20337469118925,,False,False
2016-06-03,63,69,8922,1700,90,8922,8922,Friday,22,June,2,Sommer,False,0.0405882352941176,349.4638726955704,,False,False
2016-06-04,64,67,9426,1700,90,9426,9426,Saturday,22,June,2,Sommer,False,0.0394117647058823,830.1495036141065,,False,False
2016-06-05,65,61,8514,1700,90,8514,8514,Sunday,22,June,2,Sommer,False,0.0358823529411764,399.8795649637968,,False,False
2016-06-06,66,62,9426,1700,90,9426,9426,Monday,23,June,2,Sommer,False,0.0364705882352941,581.1537681659527,,False,False
2016-06-07,67,53,9414,1700,90,9414,9414,Tuesday,23,June,2,Sommer,False,0.0311764705882352,824.0283326258834,,False,False
2016-06-08,68,50,7260,1700,90,7260,7260,Wednesday,23,June,2,Sommer,False,0.0294117647058823,-986.4716673741168,,False,False
2016-06-09,69,48,6762,1700,90,6762,6762,Thursday,23,June,2,Sommer,False,0.028235294117647,-1059.6319461197618,,False,False
2016-06-10,70,53,7230,1700,90,7230,7230,Friday,23,June,2,Sommer,False,0.0311764705882352,-397.107555875859,,False,False
2016-06-11,71,51,7710,1700,90,7710,7710,Saturday,23,June,2,Sommer,False,0.03,440.1495036141056,,False,False
2016-06-12,72,59,6462,1700,90,6462,6462,Sunday,23,June,2,Sommer,False,0.0347058823529411,-565.2632921790582,,False,False
2016-06-13,73,66,8790,1700,90,8790,8790,Monday,24,June,2,Sommer,False,0.0388235294117647,622.2966253088114,,False,False
2016-06-14,74,58,8160,1700,90,8160,8160,Tuesday,24,June,2,Sommer,False,0.0341176470588235,50.0283326258853,,False,False
2016-06-15,75,53,8538,1700,90,8538,8538,Wednesday,24,June,2,Sommer,False,0.0311764705882352,642.9569040544557,,False,False
2016-06-16,76,55,8094,1700,90,8094,8094,Thursday,24,June,2,Sommer,False,0.0323529411764705,276.65376816595386,,False,False
2016-06-17,77,54,6918,1700,90,6918,6918,Friday,24,June,2,Sommer,False,0.0317647058823529,-763.107555875859,,False,False
2016-06-18,78,54,6894,1700,90,6894,6894,Saturday,24,June,2,Sommer,False,0.0317647058823529,-693.8504963858944,,False,False
2016-06-19,79,56,6840,1700,90,6840,6840,Sunday,24,June,2,Sommer,False,0.0329411764705882,-254.1204350362013,,False,False
2016-06-20,80,57,8562,1700,90,8562,8562,Monday,25,June,2,Sommer,False,0.0335294117647058,486.0109110230967,,False,False
2016-06-21,81,60,8754,1700,90,8754,8754,Tuesday,25,June,2,Sommer,False,0.0352941176470588,834.3140469115981,,False,False
2016-06-22,82,61,8058,1700,90,8058,8058,Wednesday,25,June,2,Sommer,False,0.0358823529411764,182.67118976874008,,False,False
2016-06-23,83,60,8316,1700,90,8316,8316,Thursday,25,June,2,Sommer,False,0.0352941176470588,436.0823395945245,,False,False
2016-06-24,84,53,5916,1700,90,5916,5916,Friday,25,June,2,Sommer,False,0.0311764705882352,-1917.678984447288,,False,False
2016-06-25,85,45,7272,1700,90,7272,7272,Saturday,25,June,2,Sommer,False,0.0264705882352941,-245.56478210018065,,False,False
2016-06-26,86,48,7794,1700,90,7794,7794,Sunday,25,June,2,Sommer,False,0.028235294117647,909.8795649637976,,False,False
2016-06-27,87,50,8964,1700,90,8964,8964,Monday,26,June,2,Sommer,False,0.0294117647058823,1359.4394824516664,,False,False
2016-06-28,88,44,7788,1700,90,7788,7788,Tuesday,26,June,2,Sommer,False,0.0258823529411764,-207.1145245169734,,False,False
2016-06-29,89,44,6600,1700,90,6600,6600,Wednesday,26,June,2,Sommer,False,0.0258823529411764,-1274.4716673741175,,False,False
2016-06-30,90,48,6708,1700,90,6708,6708,Thursday,26,June,2,Sommer,False,0.028235294117647,-1117.9176604054755,,False,False
2016-07-01,91,41,8742,1700,90,8742,8742,Friday,26,July,3,Sommer,False,0.0241176470588235,1082.3210155527129,,False,False
2016-07-02,92,40,7116,1700,90,7116,7116,Saturday,26,July,3,Sommer,False,0.0235294117647058,-474.42192495732377,,False,False
2016-07-03,93,46,8376,1700,90,8376,8376,Sunday,26,July,3,Sommer,False,0.0270588235294117,767.5938506780831,,False,False
2016-07-04,94,50,8526,1700,90,8526,8526,Monday,27,July,3,Sommer,False,0.0294117647058823,-280.2748032626198,,False,False
2016-07-05,95,47,8550,1700,90,8550,8550,Tuesday,27,July,3,Sommer,False,0.0276470588235294,-283.400238802689,,False,False
2016-07-06,96,51,9702,1700,90,9702,9702,Wednesday,27,July,3,Sommer,False,0.03,764.6711897687401,,False,False
2016-07-07,97,60,8442,1700,90,8442,8442,Thursday,27,July,3,Sommer,False,0.0352941176470588,-220.48908897690484,,False,False
2016-07-08,98,64,9024,1700,90,9024,9024,Friday,27,July,3,Sommer,False,0.0376470588235294,327.17815840985475,,False,False
2016-07-09,99,69,8532,1700,90,8532,8532,Saturday,27,July,3,Sommer,False,0.0405882352941176,73.29236075696156,,False,False
2016-07-10,100,70,7374,1700,90,7374,7374,Sunday,27,July,3,Sommer,False,0.0411764705882352,-560.9775778933445,,False,False
2016-07-11,101,70,9492,1700,90,9492,9492,Monday,28,July,3,Sommer,False,0.0411764705882352,494.5823395945233,,False,False
2016-07-12,102,52,8130,1700,90,8130,8130,Tuesday,28,July,3,Sommer,False,0.0305882352941176,-654.5430959455441,,False,False
2016-07-13,103,48,9012,1700,90,9012,9012,Wednesday,28,July,3,Sommer,False,0.028235294117647,654.0997611973107,,False,False
2016-07-14,104,48,9228,1700,90,9228,9228,Thursday,28,July,3,Sommer,False,0.028235294117647,1256.3680538802382,,False,False
2016-07-15,105,54,7626,1700,90,7626,7626,Friday,28,July,3,Sommer,False,0.0317647058823529,49.46387269556943,,False,False
2016-07-16,106,58,6234,1700,90,6234,6234,Saturday,28,July,3,Sommer,False,0.0341176470588235,-966.4219249573238,,False,False
2016-07-17,107,63,5592,1700,90,5592,5592,Sunday,28,July,3,Sommer,False,0.0370588235294117,-877.2632921790591,,False,False
2016-07-18,108,67,7452,1700,90,7452,7452,Monday,29,July,3,Sommer,False,0.0394117647058823,361.725196737382,,False,False
2016-07-19,109,62,6744,1700,90,6744,6744,Tuesday,29,July,3,Sommer,False,0.0364705882352941,-507.1145245169743,,False,False
2016-07-20,110,69,6870,1700,90,6870,6870,Wednesday,29,July,3,Sommer,True,0.0405882352941176,-313.6145245169737,,False,False
2016-07-21,111,73,6924,1700,90,6924,6924,Thursday,29,July,3,Sommer,True,0.0429411764705882,-170.7748032626186,,False,False
2016-07-22,112,67,8844,1700,90,8844,8844,Friday,29,July,3,Sommer,True,0.0394117647058823,1864.892444124141,,False,False
2016-07-23,113,63,6450,1700,90,6450,6450,Saturday,29,July,3,Sommer,True,0.0370588235294117,-457.279067814466,,False,False
2016-07-24,114,60,5892,1700,90,5892,5892,Sunday,29,July,3,Sommer,True,0.0352941176470588,-563.5490064647729,,False,False
2016-07-25,115,62,7368,1700,90,7368,7368,Monday,30,July,3,Sommer,True,0.0364705882352941,-57.41766040547577,,False,False
2016-07-26,116,53,7488,1700,90,7488,7488,Tuesday,30,July,3,Sommer,True,0.0311764705882352,342.31404691159725,,False,False
2016-07-27,117,49,6684,1700,90,6684,6684,Wednesday,30,July,3,Sommer,True,0.0288235294117647,-367.6145245169737,,False,False
2016-07-28,118,51,7062,1700,90,7062,7062,Thursday,30,July,3,Sommer,True,0.03,96.65376816595388,,False,False
2016-07-29,119,50,6978,1700,90,6978,6978,Friday,30,July,3,Sommer,True,0.0294117647058823,-336.250413018715,,False,False
2016-07-30,120,49,6480,1700,90,6480,6480,Saturday,30,July,3,Sommer,True,0.0288235294117647,-1070.9933535287523,,False,False
2016-07-31,121,51,6210,1700,90,6210,6210,Sunday,30,July,3,Sommer,True,0.03,-1320.406149321916,,False,False
2016-08-01,122,53,10536,1700,90,10536,10536,Monday,31,August,3,Sommer,True,0.0311764705882352,1658.5823395945251,,False,False
2016-08-02,123,51,10392,1700,90,10392,10392,Tuesday,31,August,3,Sommer,True,0.03,1202.0283326258834,,False,False
2016-08-03,124,49,9516,1700,90,9516,9516,Wednesday,31,August,3,Sommer,True,0.0288235294117647,63.52833262588501,,False,False
2016-08-04,125,52,9840,1700,90,9840,9840,Thursday,31,August,3,Sommer,True,0.0305882352941176,562.9394824516677,,False,False
2016-08-05,126,49,9258,1700,90,9258,9258,Friday,31,August,3,Sommer,True,0.0288235294117647,528.6067298384272,,False,False
2016-08-06,127,44,9006,1700,90,9006,9006,Saturday,31,August,3,Sommer,True,0.0258823529411764,962.1495036141048,,False,False
2016-08-07,128,46,5904,1700,90,5904,5904,Sunday,31,August,3,Sommer,True,0.0270588235294117,-1427.549006464772,,False,False
2016-08-08,129,40,7428,1700,90,7428,7428,Monday,32,August,3,Sommer,True,0.0235294117647058,-665.9890889769042,,False,False
2016-08-09,130,37,6840,1700,90,6840,6840,Tuesday,32,August,3,Sommer,True,0.0217647058823529,-1097.685953088402,,False,False
2016-08-10,131,38,7506,1700,90,7506,7506,Wednesday,32,August,3,Sommer,True,0.0223529411764705,-12.75738165983148,,False,False
2016-08-11,132,45,8526,1700,90,8526,8526,Thursday,32,August,3,Sommer,True,0.0264705882352941,1156.939482451667,,False,False
2016-08-12,133,43,8256,1700,90,8256,8256,Friday,32,August,3,Sommer,True,0.0252941176470588,994.035301266998,,False,False
2016-08-13,134,38,6762,1700,90,6762,6762,Saturday,32,August,3,Sommer,True,0.0223529411764705,-363.8504963858944,,False,False
2016-08-14,135,38,5778,1700,90,5778,5778,Sunday,32,August,3,Sommer,True,0.0223529411764705,-784.6918636076307,,False,False
2016-08-15,136,42,7404,1700,90,7404,7404,Monday,33,August,3,Sommer,True,0.0247058823529411,-129.41766040547577,,False,False
2016-08-16,137,44,7134,1700,90,7134,7134,Tuesday,33,August,3,Sommer,True,0.0258823529411764,-353.68595308840185,,False,False
2016-08-17,138,47,6540,1700,90,6540,6540,Wednesday,33,August,3,Sommer,True,0.0276470588235294,-785.9002388026884,,False,False
2016-08-18,139,46,8670,1700,90,8670,8670,Thursday,33,August,3,Sommer,True,0.0270588235294117,1127.7966253088098,,False,False
2016-08-19,140,45,8028,1700,90,8028,8028,Friday,33,August,3,Sommer,True,0.0264705882352941,696.6067298384263,,False,False
2016-08-20,141,36,6318,1700,90,6318,6318,Saturday,33,August,3,Sommer,True,0.0211764705882352,-970.7076392430376,,False,False
2016-08-21,142,44,8214,1700,90,8214,8214,Sunday,33,August,3,Sommer,True,0.0258823529411764,1080.4509935352262,,False,False
2016-08-22,143,49,6654,1700,90,6654,6654,Monday,34,August,3,Sommer,True,0.0288235294117647,-1211.131946119761,,False,False
2016-08-23,144,48,8082,1700,90,8082,8082,Tuesday,34,August,3,Sommer,True,0.028235294117647,222.31404691159813,,False,False
2016-08-24,145,49,8430,1700,90,8430,8430,Wednesday,34,August,3,Sommer,True,0.0288235294117647,481.81404691159696,,False,False
2016-08-25,146,52,7140,1700,90,7140,7140,Thursday,34,August,3,Sommer,True,0.0305882352941176,-501.6319461197608,,False,False
2016-08-26,147,55,8082,1700,90,8082,8082,Friday,34,August,3,Sommer,True,0.0323529411764705,517.4638726955703,,False,False
2016-08-27,148,48,7626,1700,90,7626,7626,Saturday,34,August,3,Sommer,True,0.028235294117647,166.72093218553402,,False,False
2016-08-28,149,49,6990,1700,90,6990,6990,Sunday,34,August,3,Sommer,True,0.0288235294117647,-109.26329217905914,,False,False
2016-08-29,150,60,6840,1700,90,6840,6840,Monday,35,August,3,Sommer,True,0.0352941176470588,-1520.5605175483329,,False,False
2016-08-30,151,59,8592,1700,90,8592,8592,Tuesday,35,August,3,Sommer,True,0.0347058823529411,61.17118976874036,,False,False
2016-08-31,152,54,8886,1700,90,8886,8886,Wednesday,35,August,3,Sommer,True,0.0317647058823529,488.6711897687401,,False,False
2016-09-01,153,52,9318,1700,90,9318,9318,Thursday,35,September,3,Herbst,True,0.0305882352941176,974.3680538802384,,False,False
2016-09-02,154,61,9366,1700,90,9366,9366,Friday,35,September,3,Herbst,True,0.0358823529411764,1024.892444124141,,False,False
2016-09-03,155,55,7380,1700,90,7380,7380,Saturday,35,September,3,Herbst,False,0.0323529411764705,-635.5647821001816,,False,False
2016-09-04,156,69,7536,1700,90,7536,7536,Sunday,35,September,3,Herbst,False,0.0405882352941176,-8.97757789334446,,False,False
2016-09-05,157,73,7548,1700,90,7548,7548,Monday,36,September,3,Herbst,False,0.0429411764705882,-865.7033746911895,,False,False
2016-09-06,158,67,7560,1700,90,7560,7560,Tuesday,36,September,3,Herbst,False,0.0394117647058823,-442.8288102312597,,False,False
2016-09-07,159,64,8568,1700,90,8568,8568,Wednesday,36,September,3,Herbst,False,0.0376470588235294,664.3854754830254,,False,False
2016-09-08,160,67,8748,1700,90,8748,8748,Thursday,36,September,3,Herbst,False,0.0394117647058823,880.9394824516677,,False,False
2016-09-09,161,62,6582,1700,90,6582,6582,Friday,36,September,3,Herbst,False,0.0364705882352941,-1040.8218415901442,,False,False
2016-09-10,162,59,7374,1700,90,7374,7374,Saturday,36,September,3,Herbst,False,0.0347058823529411,-23.56478210017974,,False,False
2016-09-11,163,68,8202,1700,90,8202,8202,Sunday,36,September,3,Herbst,False,0.04,1237.3081363923693,,False,False
2016-09-12,164,72,6564,1700,90,6564,6564,Monday,37,September,3,Herbst,False,0.0423529411764705,-1283.9890889769042,,False,False
2016-09-13,165,65,7230,1700,90,7230,7230,Tuesday,37,September,3,Herbst,False,0.038235294117647,-782.2573816598313,,False,False
2016-09-14,166,68,8514,1700,90,8514,8514,Wednesday,37,September,3,Herbst,False,0.04,702.0997611973125,,False,False
2016-09-15,167,75,8280,1700,90,8280,8280,Thursday,37,September,3,Herbst,False,0.0441176470588235,896.3680538802392,,False,False
2016-09-16,168,71,7824,1700,90,7824,7824,Friday,37,September,3,Herbst,False,0.0417647058823529,349.4638726955704,,False,False
2016-09-17,169,74,6660,1700,90,6660,6660,Saturday,37,September,3,Herbst,False,0.0435294117647058,-655.2790678144651,,False,False
2016-09-18,170,81,6126,1700,90,6126,6126,Sunday,37,September,3,Herbst,False,0.0476470588235294,-766.6918636076298,,False,False
2016-09-19,171,75,7926,1700,90,7926,7926,Monday,38,September,3,Herbst,False,0.0441176470588235,82.29662530881046,,False,False
2016-09-20,172,72,7362,1700,90,7362,7362,Tuesday,38,September,3,Herbst,False,0.0423529411764705,-180.54309594554496,,False,False
2016-09-21,173,80,8532,1700,90,8532,8532,Wednesday,38,September,3,Herbst,False,0.0470588235294117,918.9569040544555,,False,False
2016-09-22,174,77,8286,1700,90,8286,8286,Thursday,38,September,3,Herbst,False,0.0452941176470588,918.653768165954,,False,False
2016-09-23,175,76,5808,1700,90,5808,5808,Friday,38,September,3,Herbst,False,0.0447058823529411,-1544.8218415901442,,False,False
2016-09-24,176,71,7842,1700,90,7842,7842,Saturday,38,September,3,Herbst,False,0.0417647058823529,627.8637893283909,,False,False
2016-09-25,177,79,5328,1700,90,5328,5328,Sunday,38,September,3,Herbst,False,0.0464705882352941,-1231.2632921790582,,False,False
2016-09-26,178,80,8550,1700,90,8550,8550,Monday,39,September,3,Herbst,False,0.0470588235294117,1056.868053880239,,False,False
2016-09-27,179,90,7638,1700,90,7638,7638,Tuesday,39,September,3,Herbst,False,0.0529411764705882,-229.40023880268808,,False,False
2016-09-28,180,89,6924,1700,90,6924,6924,Wednesday,39,September,3,Herbst,False,0.0523529411764705,-652.1859530884021,,False,False
2016-09-29,181,89,8172,1700,90,8172,8172,Thursday,39,September,3,Herbst,False,0.0523529411764705,364.0823395945245,,False,False
2016-09-30,182,91,8520,1700,90,8520,8520,Friday,39,September,3,Herbst,False,0.0535294117647058,893.7495869812841,0.0062451792261811,False,False
2016-10-01,183,72,6492,1700,90,6492,6492,Saturday,39,October,4,Herbst,False,0.0423529411764705,-921.8504963858952,-0.0015448709283035,False,False
2016-10-02,184,77,7872,1700,90,7872,7872,Sunday,39,October,4,Herbst,False,0.0452941176470588,710.1652792495124,0.0021997543110416,False,False
2016-10-03,185,83,8004,1700,90,8004,8004,Monday,40,October,4,Herbst,False,0.0488235294117647,56.58233959452332,0.0026008409653621,False,False
2016-10-04,186,85,7398,1700,90,7398,7398,Tuesday,40,October,4,Herbst,False,0.05,-186.5430959455468,0.0021122957595685,False,False
2016-10-05,187,83,8136,1700,90,8136,8136,Wednesday,40,October,4,Herbst,False,0.0488235294117647,552.0997611973116,0.0033821042677671,False,False
2016-10-06,188,77,7020,1700,90,7020,7020,Thursday,40,October,4,Herbst,False,0.0452941176470588,-427.9176604054755,0.0031423428981868,False,False
2016-10-07,189,84,6072,1700,90,6072,6072,Friday,40,October,4,Herbst,False,0.0494117647058823,-1245.6789844472864,0.0060085405348157,False,False
2016-10-08,190,77,7176,1700,90,7176,7176,Saturday,40,October,4,Herbst,False,0.0452941176470588,-36.42192495732377,4.6176032818553633e-05,False,False
2016-10-09,191,81,7842,1700,90,7842,7842,Sunday,40,October,4,Herbst,False,0.0476470588235294,1303.3081363923702,0.0001983437652484,False,False
2016-10-10,192,91,7818,1700,90,7818,7818,Monday,41,October,4,Herbst,False,0.0535294117647058,342.0109110230967,0.0048828621612473,False,False
2016-10-11,193,80,7908,1700,90,7908,7908,Tuesday,41,October,4,Herbst,False,0.0470588235294117,208.59976119731192,8.844999599671825e-05,False,False
2016-10-12,194,81,6396,1700,90,6396,6396,Wednesday,41,October,4,Herbst,False,0.0476470588235294,-1173.328810231259,-0.0007696927644319,False,False
2016-10-13,195,84,6930,1700,90,6930,6930,Thursday,41,October,4,Herbst,False,0.0494117647058823,-475.0605175483324,0.0034326922831542,False,False
2016-10-14,196,90,7728,1700,90,7728,7728,Friday,41,October,4,Herbst,False,0.0529411764705882,591.1781584098566,0.007149254258421,False,False
2016-10-15,197,86,6954,1700,90,6954,6954,Saturday,41,October,4,Herbst,False,0.0505882352941176,96.43521789981936,0.0026680476605852,False,False
2016-10-16,198,86,7614,1700,90,7614,7614,Sunday,41,October,4,Herbst,False,0.0505882352941176,939.0224221066557,0.0020747859226608,False,False
2016-10-17,199,90,6666,1700,90,6666,6666,Monday,42,October,4,Herbst,True,0.0529411764705882,-1031.9890889769042,0.0040138638529598,False,False
2016-10-18,200,78,7200,1700,90,7200,7200,Tuesday,42,October,4,Herbst,True,0.0458823529411764,-271.4002388026881,-0.0010221506169153,False,False
2016-10-19,201,75,8094,1700,90,8094,8094,Wednesday,42,October,4,Herbst,True,0.0441176470588235,762.9569040544538,-0.0037793733810509,False,False
2016-10-20,202,73,7440,1700,90,7440,7440,Thursday,42,October,4,Herbst,True,0.0429411764705882,613.5109110230952,-0.0033902386676446,False,False
2016-10-21,203,77,6234,1700,90,6234,6234,Friday,42,October,4,Herbst,True,0.0452941176470588,-757.107555875859,-0.0025134635083299,False,False
2016-10-22,204,75,6660,1700,90,6660,6660,Saturday,42,October,4,Herbst,True,0.0441176470588235,-10.707639243038445,-0.0029180074135312,False,False
2016-10-23,205,70,5004,1700,90,5004,5004,Sunday,42,October,4,Herbst,True,0.0411764705882352,-957.8347207504868,-0.0030646020763903,False,False
2016-10-24,206,73,8544,1700,90,8544,8544,Monday,43,October,4,Herbst,True,0.0429411764705882,1785.4394824516671,0.0010133800577434,False,False
2016-10-25,207,59,6204,1700,90,6204,6204,Tuesday,43,October,4,Herbst,True,0.0347058823529411,-426.54309594554496,-0.0018042495656031,False,False
